序号,科目,资料层级,资料类型,规范文件名,目标路径,原文件名,来源路径,SHA256,大小MB
77,电工电子技术基础,原始资料,课件,电工电子技术基础_课件_4-三相电路.pptx.pdf,/Users/jerry/Desktop/期末复习/资料库/10_电工电子技术基础/02_原始资料/02_课件/电工电子技术基础_课件_4-三相电路.pptx.pdf,4- 三相电路.pptx.pdf,/Users/jerry/Desktop/期末复习/电工电子技术基础/源文件/4- 三相电路.pptx.pdf,未计算（大小唯一）,3.57
78,电工电子技术基础,原始资料,课件,电工电子技术基础_课件_5-常用半导体器件(3学时).pptx.pdf,/Users/jerry/Desktop/期末复习/资料库/10_电工电子技术基础/02_原始资料/02_课件/电工电子技术基础_课件_5-常用半导体器件(3学时).pptx.pdf,5-常用半导体器件(3学时）.pptx.pdf,/Users/jerry/Desktop/期末复习/电工电子技术基础/源文件/5-常用半导体器件(3学时）.pptx.pdf,未计算（大小唯一）,7.00
79,电工电子技术基础,原始资料,课件,电工电子技术基础_课件_6-基本放大电路[3学时].pptx.pdf,/Users/jerry/Desktop/期末复习/资料库/10_电工电子技术基础/02_原始资料/02_课件/电工电子技术基础_课件_6-基本放大电路[3学时].pptx.pdf,6-基本放大电路 [3学时].pptx.pdf,/Users/jerry/Desktop/期末复习/电工电子技术基础/源文件/6-基本放大电路 [3学时].pptx.pdf,未计算（大小唯一）,9.94
80,电工电子技术基础,原始资料,课件,电工电子技术基础_课件_7-集成运算放大器及应用.pptx.pdf,/Users/jerry/Desktop/期末复习/资料库/10_电工电子技术基础/02_原始资料/02_课件/电工电子技术基础_课件_7-集成运算放大器及应用.pptx.pdf,7-集成运算放大器及应用.pptx.pdf,/Users/jerry/Desktop/期末复习/电工电子技术基础/源文件/7-集成运算放大器及应用.pptx.pdf,未计算（大小唯一）,12.72
81,电工电子技术基础,原始资料,课件,电工电子技术基础_课件_9-门电路与组合逻辑电路.pptx.pdf,/Users/jerry/Desktop/期末复习/资料库/10_电工电子技术基础/02_原始资料/02_课件/电工电子技术基础_课件_9-门电路与组合逻辑电路.pptx.pdf,9-门电路与组合逻辑电路.pptx.pdf,/Users/jerry/Desktop/期末复习/电工电子技术基础/源文件/9-门电路与组合逻辑电路.pptx.pdf,未计算（大小唯一）,8.59
82,电工电子技术基础,成品复习包,成品复习包,电工电子技术基础_期末复习包.zip,/Users/jerry/Desktop/期末复习/资料库/10_电工电子技术基础/00_成品复习包/电工电子技术基础_期末复习包.zip,电工电子技术基础_期末复习包.zip,/Users/jerry/Desktop/期末复习/电工电子技术基础_期末复习包.zip,未计算（大小唯一）,0.61
83,电工电子技术基础,成品复习包,成品复习包,电工电子技术基础_模拟卷一_含答案解析.pdf,/Users/jerry/Desktop/期末复习/资料库/10_电工电子技术基础/00_成品复习包/电工电子技术基础_模拟卷一_含答案解析.pdf,电工电子技术基础_模拟卷一_含答案解析.pdf,/Users/jerry/Desktop/期末复习/电工电子技术基础/电工电子技术基础_模拟卷一_含答案解析.pdf,未计算（大小唯一）,0.16
84,电工电子技术基础,成品复习包,成品复习包,电工电子技术基础_模拟卷二_含答案解析.pdf,/Users/jerry/Desktop/期末复习/资料库/10_电工电子技术基础/00_成品复习包/电工电子技术基础_模拟卷二_含答案解析.pdf,电工电子技术基础_模拟卷二_含答案解析.pdf,/Users/jerry/Desktop/期末复习/电工电子技术基础/电工电子技术基础_模拟卷二_含答案解析.pdf,未计算（大小唯一）,0.16
85,电工电子技术基础,成品复习包,成品复习包,电工电子技术基础_考前复习知识点讲义.pdf,/Users/jerry/Desktop/期末复习/资料库/10_电工电子技术基础/00_成品复习包/电工电子技术基础_考前复习知识点讲义.pdf,电工电子技术基础_考前复习知识点讲义.pdf,/Users/jerry/Desktop/期末复习/电工电子技术基础/电工电子技术基础_考前复习知识点讲义.pdf,未计算（大小唯一）,0.30
86,离散数学,原始资料,压缩包,离散.zip,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/99_压缩包/离散.zip,离散.zip,/Users/jerry/Downloads/复习/离散.zip,未计算（大小唯一）,13.41
87,离散数学,原始资料,压缩包,离散数学.zip,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/99_压缩包/离散数学.zip,离散数学.zip,/Users/jerry/Downloads/大一下期末/离散数学.zip,未计算（大小唯一）,53.02
88,离散数学,原始资料,图片资料,离散数学2017-2018第一学期_1.png,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/98_图片资料/离散数学2017-2018第一学期_1.png,1.png,/Users/jerry/Downloads/复习/离散/离散数学2017-2018第一学期/1.png,未计算（大小唯一）,0.34
89,离散数学,原始资料,图片资料,离散数学2017-2018第一学期_2.png,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/98_图片资料/离散数学2017-2018第一学期_2.png,2.png,/Users/jerry/Downloads/复习/离散/离散数学2017-2018第一学期/2.png,未计算（大小唯一）,0.27
90,离散数学,原始资料,图片资料,离散数学2017-2018第一学期_3.png,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/98_图片资料/离散数学2017-2018第一学期_3.png,3.png,/Users/jerry/Downloads/复习/离散/离散数学2017-2018第一学期/3.png,未计算（大小唯一）,0.17
91,离散数学,原始资料,图片资料,离散数学2017-2018第一学期_4.png,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/98_图片资料/离散数学2017-2018第一学期_4.png,4.png,/Users/jerry/Downloads/复习/离散/离散数学2017-2018第一学期/4.png,未计算（大小唯一）,0.18
92,离散数学,原始资料,图片资料,离散数学2018-2019第一学期_1.jpg,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/98_图片资料/离散数学2018-2019第一学期_1.jpg,1.jpg,/Users/jerry/Downloads/复习/离散/离散数学2018-2019第一学期/1.jpg,未计算（大小唯一）,1.17
93,离散数学,原始资料,图片资料,离散数学2018-2019第一学期_2.jpg,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/98_图片资料/离散数学2018-2019第一学期_2.jpg,2.jpg,/Users/jerry/Downloads/复习/离散/离散数学2018-2019第一学期/2.jpg,未计算（大小唯一）,1.24
94,离散数学,原始资料,图片资料,离散数学2018-2019第一学期_3.jpg,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/98_图片资料/离散数学2018-2019第一学期_3.jpg,3.jpg,/Users/jerry/Downloads/复习/离散/离散数学2018-2019第一学期/3.jpg,未计算（大小唯一）,1.24
95,离散数学,原始资料,图片资料,离散数学2018-2019第一学期_4.jpg,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/98_图片资料/离散数学2018-2019第一学期_4.jpg,4.jpg,/Users/jerry/Downloads/复习/离散/离散数学2018-2019第一学期/4.jpg,未计算（大小唯一）,1.15
96,离散数学,原始资料,图片资料,离散数学_图片资料_期中测试_45A0FB44B5EC76FDCD505544CD680140.png,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/98_图片资料/离散数学_图片资料_期中测试_45A0FB44B5EC76FDCD505544CD680140.png,45A0FB44B5EC76FDCD505544CD680140.png,/Users/jerry/Downloads/复习/离散/离散数学阶段性测试卷子/期中测试/45A0FB44B5EC76FDCD505544CD680140.png,973fcb73a8721a783c66b76915d92b194d5d419e12e294530bea889eedbacd7f,0.41
97,离散数学,原始资料,图片资料,离散数学_图片资料_期中测试_49D107C6931E9A44CF31B6E774BF69D1.png,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/98_图片资料/离散数学_图片资料_期中测试_49D107C6931E9A44CF31B6E774BF69D1.png,49D107C6931E9A44CF31B6E774BF69D1.png,/Users/jerry/Downloads/复习/离散/离散数学阶段性测试卷子/期中测试/49D107C6931E9A44CF31B6E774BF69D1.png,e5f0562ea2e2ac43c573e53ddf890e7a41b11bcb9684533ce7e5a3ff32975e80,0.41
98,离散数学,原始资料,图片资料,离散数学_图片资料_期中测试_4B0A7872372B2A84E96B99F40AD506C7.png,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/98_图片资料/离散数学_图片资料_期中测试_4B0A7872372B2A84E96B99F40AD506C7.png,4B0A7872372B2A84E96B99F40AD506C7.png,/Users/jerry/Downloads/复习/离散/离散数学阶段性测试卷子/期中测试/4B0A7872372B2A84E96B99F40AD506C7.png,00e0661502e4738851504a60892bc444cb1de8dd8e6449662b612f7563b6608c,0.38
99,离散数学,原始资料,图片资料,离散数学_图片资料_期中测试_E337C3A2A0F6D191778B8A40E8397B28.png,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/98_图片资料/离散数学_图片资料_期中测试_E337C3A2A0F6D191778B8A40E8397B28.png,E337C3A2A0F6D191778B8A40E8397B28.png,/Users/jerry/Downloads/复习/离散/离散数学阶段性测试卷子/期中测试/E337C3A2A0F6D191778B8A40E8397B28.png,bbd0da7e6c95da297f6ca72cfd8f7f4b2409518493255bdd87e0fdd290d9abeb,0.38
100,离散数学,原始资料,图片资料,离散数学阶段性测试卷子_1.png,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/98_图片资料/离散数学阶段性测试卷子_1.png,1.png,/Users/jerry/Downloads/复习/离散/离散数学阶段性测试卷子/1.png,b36087bf72fa9ff052d739085c5ecc868d2a893f38c3160d1461f47be60a2e0c,0.15
101,离散数学,原始资料,图片资料,离散数学阶段性测试卷子_2.png,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/98_图片资料/离散数学阶段性测试卷子_2.png,2.png,/Users/jerry/Downloads/复习/离散/离散数学阶段性测试卷子/2.png,170a1cdddae991537d95f2623452cb042f518e30862b9040ca0e045f83029cae,0.14
102,离散数学,原始资料,图片资料,离散数学阶段性测试卷子_3.png,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/98_图片资料/离散数学阶段性测试卷子_3.png,3.png,/Users/jerry/Downloads/复习/离散/离散数学阶段性测试卷子/3.png,921a58bc083b8e4ca5ea96b6f7b3682c05a6ff0bf9dc3a1ece2e1e88d08caaea,0.53
103,离散数学,原始资料,图片资料,离散数学阶段性测试卷子_4.png,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/98_图片资料/离散数学阶段性测试卷子_4.png,4.png,/Users/jerry/Downloads/复习/离散/离散数学阶段性测试卷子/4.png,96984af9c29e3c2be9316e7ffe6724ed49e0f2aee5aca6b146e3e9ac4d9b8c97,0.42
104,离散数学,原始资料,学习计划,离散数学_学习计划_一个月高数下册与离散数学学习计划.pdf,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/06_学习计划/离散数学_学习计划_一个月高数下册与离散数学学习计划.pdf,一个月高数下册与离散数学学习计划.pdf,/Users/jerry/Downloads/复习/一个月高数下册与离散数学学习计划.pdf,未计算（大小唯一）,0.15
105,离散数学,原始资料,教材题解,离散数学题解(第六版)耿素云屈婉玲张立昂清华大学出版社(耿素云屈婉玲张立昂).pdf,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/04_教材与题解/离散数学题解(第六版)耿素云屈婉玲张立昂清华大学出版社(耿素云屈婉玲张立昂).pdf,"离散数学题解（第六版）耿素云 屈婉玲 张立昂清华大学出版社 (耿素云 屈婉玲 张立昂) (z-library.sk, 1lib.sk, z-lib.sk) (1).pdf","/Users/jerry/Downloads/大一下期末/离散数学题解（第六版）耿素云 屈婉玲 张立昂清华大学出版社 (耿素云 屈婉玲 张立昂) (z-library.sk, 1lib.sk, z-lib.sk) (1).pdf",c3b08872d1508d7d5afaa26394a9e82fab59fc5484b8e1f1112a622be69739c6,84.56
106,离散数学,原始资料,源文件,离散数学_考前复习知识点讲义.tex,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/90_源文件/离散数学_考前复习知识点讲义.tex,离散数学_考前复习知识点讲义.tex,/Users/jerry/Desktop/期末复习/离散数学/源文件/离散数学_考前复习知识点讲义.tex,未计算（大小唯一）,0.04
107,离散数学,原始资料,真题,离散数学_真题_软件学院23级离散数学.pdf,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/01_样卷与真题/离散数学_真题_软件学院23级离散数学.pdf,软件学院 23级离散数学.pdf,/Users/jerry/Downloads/大一下期末/软件学院 23级离散数学.pdf,20122cc28de5c25d5df70f6b37b8e73db87748acc34bd6bfbc1ed6958a72b40a,0.23
108,离散数学,原始资料,真题,离散数学早年卷子.pdf,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/01_样卷与真题/离散数学早年卷子.pdf,离散数学早年卷子.pdf,/Users/jerry/Downloads/复习/离散/离散数学早年卷子.pdf,未计算（大小唯一）,1.69
109,离散数学,原始资料,笔记总结,图论知识总结.pdf,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/05_笔记与总结/图论知识总结.pdf,图论知识总结.pdf,/Users/jerry/Downloads/复习/离散/图论知识总结.pdf,未计算（大小唯一）,0.29
110,离散数学,原始资料,笔记总结,数理逻辑知识总结.pdf,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/05_笔记与总结/数理逻辑知识总结.pdf,数理逻辑知识总结.pdf,/Users/jerry/Downloads/复习/离散/数理逻辑知识总结.pdf,未计算（大小唯一）,0.16
111,离散数学,原始资料,笔记总结,离散数学_笔记总结_1.3命题逻辑等值演算.pdf,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/05_笔记与总结/离散数学_笔记总结_1.3命题逻辑等值演算.pdf,1.3 命题逻辑等值演算.pdf,/Users/jerry/Downloads/复习/离散数学/1.3 命题逻辑等值演算.pdf,未计算（大小唯一）,5.94
112,离散数学,原始资料,笔记总结,离散数学_笔记总结_1.7推理理论.pdf,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/05_笔记与总结/离散数学_笔记总结_1.7推理理论.pdf,1.7 推理理论.pdf,/Users/jerry/Downloads/复习/离散数学/1.7 推理理论.pdf,未计算（大小唯一）,3.11
113,离散数学,原始资料,笔记总结,离散数学_笔记总结_2.1.pdf,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/05_笔记与总结/离散数学_笔记总结_2.1.pdf,2.1.pdf,/Users/jerry/Downloads/复习/离散数学/2.1.pdf,未计算（大小唯一）,5.83
114,离散数学,原始资料,笔记总结,离散数学_笔记总结_2.3一阶逻辑等值式与前束范式.pdf,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/05_笔记与总结/离散数学_笔记总结_2.3一阶逻辑等值式与前束范式.pdf,2.3 一阶逻辑等值式与前束范式.pdf,/Users/jerry/Downloads/复习/离散数学/2.3 一阶逻辑等值式与前束范式.pdf,未计算（大小唯一）,2.24
115,离散数学,原始资料,笔记总结,离散数学_笔记总结_4.1-2.pdf,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/05_笔记与总结/离散数学_笔记总结_4.1-2.pdf,4.1-2.pdf,/Users/jerry/Downloads/复习/离散数学/4.1-2.pdf,未计算（大小唯一）,6.57
116,离散数学,原始资料,笔记总结,离散数学_笔记总结_4.3关系的性质.pdf,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/05_笔记与总结/离散数学_笔记总结_4.3关系的性质.pdf,4.3 关系的性质.pdf,/Users/jerry/Downloads/复习/离散数学/4.3 关系的性质.pdf,未计算（大小唯一）,3.39
117,离散数学,原始资料,笔记总结,离散数学_笔记总结_4.5等价关系与偏序关系.pdf,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/05_笔记与总结/离散数学_笔记总结_4.5等价关系与偏序关系.pdf,4.5 等价关系与偏序关系.pdf,/Users/jerry/Downloads/复习/离散数学/4.5 等价关系与偏序关系.pdf,未计算（大小唯一）,5.08
118,离散数学,原始资料,笔记总结,离散数学_笔记总结_4.6函数的定义与性质.pdf,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/05_笔记与总结/离散数学_笔记总结_4.6函数的定义与性质.pdf,4.6 函数的定义与性质.pdf,/Users/jerry/Downloads/复习/离散数学/4.6 函数的定义与性质.pdf,未计算（大小唯一）,4.24
119,离散数学,原始资料,笔记总结,离散数学_笔记总结_5.2通路、回路、图的连通性.pdf,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/05_笔记与总结/离散数学_笔记总结_5.2通路、回路、图的连通性.pdf,5.2 通路、回路、图的连通性.pdf,/Users/jerry/Downloads/复习/离散数学/5.2 通路、回路、图的连通性.pdf,未计算（大小唯一）,4.58
120,离散数学,原始资料,笔记总结,"离散数学_笔记总结_5.4最短路径,关键路径与着色.pdf","/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/05_笔记与总结/离散数学_笔记总结_5.4最短路径,关键路径与着色.pdf","5.4 最短路径,关键路径与着色.pdf","/Users/jerry/Downloads/复习/离散数学/5.4 最短路径,关键路径与着色.pdf",未计算（大小唯一）,3.19
121,离散数学,原始资料,笔记总结,离散数学_笔记总结_图论.pdf,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/05_笔记与总结/离散数学_笔记总结_图论.pdf,图论.pdf,/Users/jerry/Downloads/复习/离散数学/图论.pdf,未计算（大小唯一）,4.67
122,离散数学,原始资料,笔记总结,离散数学_笔记总结_离散数学.pdf,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/05_笔记与总结/离散数学_笔记总结_离散数学.pdf,离散数学.pdf,/Users/jerry/Downloads/复习/离散数学/离散数学.pdf,未计算（大小唯一）,6.04
123,离散数学,原始资料,笔记总结,离散数学_笔记总结_集合论.pdf,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/05_笔记与总结/离散数学_笔记总结_集合论.pdf,集合论.pdf,/Users/jerry/Downloads/复习/离散数学/集合论.pdf,未计算（大小唯一）,4.92
124,离散数学,原始资料,课件,离散数学_课件_第5章集合.pptx,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/02_课件/离散数学_课件_第5章集合.pptx,第5章 集合.pptx,/Users/jerry/Downloads/复习/第5章 集合.pptx,未计算（大小唯一）,4.55
125,离散数学,原始资料,题库练习,图论习题.docx,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/03_题库与练习/图论习题.docx,图论习题.docx,/Users/jerry/Downloads/大一下期末/图论习题.docx,4b505a1c46e6b30fab3b77a4b97fdfff03e40932cc98bdc0b711eb7ab2d52063,0.13
126,离散数学,原始资料,题库练习,数理逻辑习题.docx,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/03_题库与练习/数理逻辑习题.docx,数理逻辑习题.docx,/Users/jerry/Downloads/大一下期末/数理逻辑习题.docx,572adb25d272066dbe748c6c5138bd4f2ca6e227397fd7b9ffc6fdcda69cb9bc,0.06
127,离散数学,原始资料,题库练习,数理逻辑习题课.pdf,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/03_题库与练习/数理逻辑习题课.pdf,数理逻辑习题课.pdf,/Users/jerry/Downloads/复习/离散数学/数理逻辑习题课.pdf,未计算（大小唯一）,2.57
128,离散数学,原始资料,题库练习,集合论习题.docx,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/02_原始资料/03_题库与练习/集合论习题.docx,集合论习题.docx,/Users/jerry/Downloads/大一下期末/集合论习题.docx,9e7fc28611b1ed910225835b8fa496fadba62a5c9cbc2820358e87bb20fff8f8,0.09
129,离散数学,成品复习包,成品复习包,离散数学_期末复习包.zip,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/00_成品复习包/离散数学_期末复习包.zip,离散数学.zip,/Users/jerry/Desktop/期末复习/离散数学.zip,未计算（大小唯一）,0.33
130,离散数学,成品复习包,成品复习包,离散数学_模拟卷一_含答案解析.pdf,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/00_成品复习包/离散数学_模拟卷一_含答案解析.pdf,离散数学_模拟卷一_含答案解析.pdf,/Users/jerry/Desktop/期末复习/离散数学/离散数学_模拟卷一_含答案解析.pdf,未计算（大小唯一）,0.06
131,离散数学,成品复习包,成品复习包,离散数学_模拟卷二_含答案解析.pdf,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/00_成品复习包/离散数学_模拟卷二_含答案解析.pdf,离散数学_模拟卷二_含答案解析.pdf,/Users/jerry/Desktop/期末复习/离散数学/离散数学_模拟卷二_含答案解析.pdf,未计算（大小唯一）,0.06
132,离散数学,成品复习包,成品复习包,离散数学_考前复习知识点讲义.pdf,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/00_成品复习包/离散数学_考前复习知识点讲义.pdf,离散数学_考前复习知识点讲义.pdf,/Users/jerry/Desktop/期末复习/离散数学/离散数学_考前复习知识点讲义.pdf,未计算（大小唯一）,0.31
133,离散数学,知识点库,知识点库,离散数学_习题课数理逻辑.md,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/01_知识点库/离散数学_习题课数理逻辑.md,习题课 数理逻辑.md,/Users/jerry/Downloads/复习/离散数学/习题课 数理逻辑.md,未计算（大小唯一）,0.00
134,离散数学,知识点库,知识点库,离散数学_刷题版.md,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/01_知识点库/离散数学_刷题版.md,离散数学_刷题版.md,/Users/jerry/Downloads/复习/离散数学/离散数学_刷题版.md,未计算（大小唯一）,0.00
135,离散数学,知识点库,知识点库,离散数学_知识点索引版.md,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/01_知识点库/离散数学_知识点索引版.md,离散数学_知识点索引版.md,/Users/jerry/Downloads/复习/离散数学/离散数学_知识点索引版.md,未计算（大小唯一）,0.01
136,离散数学,知识点库,知识点库,离散数学_第0章课程导论.md,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/01_知识点库/离散数学_第0章课程导论.md,第0章 课程导论.md,/Users/jerry/Downloads/复习/离散数学/第0章 课程导论.md,未计算（大小唯一）,0.00
137,离散数学,知识点库,知识点库,离散数学_第1章命题逻辑.md,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/01_知识点库/离散数学_第1章命题逻辑.md,第1章 命题逻辑.md,/Users/jerry/Downloads/复习/离散数学/第1章 命题逻辑.md,未计算（大小唯一）,0.01
138,离散数学,知识点库,知识点库,离散数学_第1章命题逻辑_刷题.md,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/01_知识点库/离散数学_第1章命题逻辑_刷题.md,第1章 命题逻辑_刷题.md,/Users/jerry/Downloads/复习/离散数学/第1章 命题逻辑_刷题.md,未计算（大小唯一）,0.03
139,离散数学,知识点库,知识点库,离散数学_第2章一阶逻辑.md,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/01_知识点库/离散数学_第2章一阶逻辑.md,第2章 一阶逻辑.md,/Users/jerry/Downloads/复习/离散数学/第2章 一阶逻辑.md,未计算（大小唯一）,0.01
140,离散数学,知识点库,知识点库,离散数学_第2章一阶逻辑_刷题.md,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/01_知识点库/离散数学_第2章一阶逻辑_刷题.md,第2章 一阶逻辑_刷题.md,/Users/jerry/Downloads/复习/离散数学/第2章 一阶逻辑_刷题.md,未计算（大小唯一）,0.01
141,离散数学,知识点库,知识点库,离散数学_第3章集合论.md,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/01_知识点库/离散数学_第3章集合论.md,第3章 集合论.md,/Users/jerry/Downloads/复习/离散数学/第3章 集合论.md,未计算（大小唯一）,0.00
142,离散数学,知识点库,知识点库,离散数学_第3章集合论_刷题.md,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/01_知识点库/离散数学_第3章集合论_刷题.md,第3章 集合论_刷题.md,/Users/jerry/Downloads/复习/离散数学/第3章 集合论_刷题.md,未计算（大小唯一）,0.01
143,离散数学,知识点库,知识点库,离散数学_第4章二元关系与函数.md,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/01_知识点库/离散数学_第4章二元关系与函数.md,第4章 二元关系与函数.md,/Users/jerry/Downloads/复习/离散数学/第4章 二元关系与函数.md,未计算（大小唯一）,0.01
144,离散数学,知识点库,知识点库,离散数学_第4章二元关系与函数_刷题.md,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/01_知识点库/离散数学_第4章二元关系与函数_刷题.md,第4章 二元关系与函数_刷题.md,/Users/jerry/Downloads/复习/离散数学/第4章 二元关系与函数_刷题.md,未计算（大小唯一）,0.03
145,离散数学,知识点库,知识点库,离散数学_第5章图论.md,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/01_知识点库/离散数学_第5章图论.md,第5章 图论.md,/Users/jerry/Downloads/复习/离散数学/第5章 图论.md,未计算（大小唯一）,0.01
146,离散数学,知识点库,知识点库,离散数学_第5章图论_刷题.md,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/01_知识点库/离散数学_第5章图论_刷题.md,第5章 图论_刷题.md,/Users/jerry/Downloads/复习/离散数学/第5章 图论_刷题.md,未计算（大小唯一）,0.02
147,离散数学,知识点库,知识点库,离散数学_综合训练_刷题.md,/Users/jerry/Desktop/期末复习/资料库/02_离散数学/01_知识点库/离散数学_综合训练_刷题.md,综合训练_刷题.md,/Users/jerry/Downloads/复习/离散数学/综合训练_刷题.md,未计算（大小唯一）,0.00
148,移动开发,原始资料,压缩包,移动开发-课件.zip,/Users/jerry/Desktop/期末复习/资料库/11_移动开发/02_原始资料/99_压缩包/移动开发-课件.zip,移动开发-课件.zip,/Users/jerry/Desktop/期末复习/移动开发/移动开发-课件.zip,未计算（大小唯一）,46.99
149,移动开发,成品复习包,成品复习包,移动开发_期末复习包.zip,/Users/jerry/Desktop/期末复习/资料库/11_移动开发/00_成品复习包/移动开发_期末复习包.zip,移动开发_期末复习包.zip,/Users/jerry/Desktop/期末复习/移动开发_期末复习包.zip,未计算（大小唯一）,0.31
150,移动开发,成品复习包,成品复习包,移动开发_模拟卷一_含答案解析.pdf,/Users/jerry/Desktop/期末复习/资料库/11_移动开发/00_成品复习包/移动开发_模拟卷一_含答案解析.pdf,移动开发_模拟卷一_含答案解析.pdf,/Users/jerry/Desktop/期末复习/移动开发/移动开发_模拟卷一_含答案解析.pdf,未计算（大小唯一）,0.02
151,移动开发,成品复习包,成品复习包,移动开发_模拟卷二_含答案解析.pdf,/Users/jerry/Desktop/期末复习/资料库/11_移动开发/00_成品复习包/移动开发_模拟卷二_含答案解析.pdf,移动开发_模拟卷二_含答案解析.pdf,/Users/jerry/Desktop/期末复习/移动开发/移动开发_模拟卷二_含答案解析.pdf,未计算（大小唯一）,0.02
152,移动开发,成品复习包,成品复习包,移动开发_考前复习知识点讲义.pdf,/Users/jerry/Desktop/期末复习/资料库/11_移动开发/00_成品复习包/移动开发_考前复习知识点讲义.pdf,移动开发_考前复习知识点讲义.pdf,/Users/jerry/Desktop/期末复习/移动开发/移动开发_考前复习知识点讲义.pdf,未计算（大小唯一）,0.30
153,计算机组成原理,原始资料,压缩包,计算机组成原理_压缩包_课件1-6.rar,/Users/jerry/Desktop/期末复习/资料库/08_计算机组成原理/02_原始资料/99_压缩包/计算机组成原理_压缩包_课件1-6.rar,课件 1-6.rar,/Users/jerry/Desktop/期末复习/计算机组成/源文件/课件 1-6.rar,未计算（大小唯一）,7.63
154,计算机组成原理,原始资料,课件,计算机组成原理Chapter7_发给学生.pdf,/Users/jerry/Desktop/期末复习/资料库/08_计算机组成原理/02_原始资料/02_课件/计算机组成原理Chapter7_发给学生.pdf,计算机组成原理 Chapter 7_发给学生.pdf,/Users/jerry/Desktop/期末复习/计算机组成/源文件/计算机组成原理 Chapter 7_发给学生.pdf,未计算（大小唯一）,1.33
